Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
488 GREEN ST,7,119-95,119,95,15390,343,Office,OFFICE-CONDO,0,,,,true,,POINT (-71.108396701 42.36701272)
105 RAYMOND ST,9,201.5-76,201.5,76,2767,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1267037553 42.3862680666)
74 HURON AVE,9,207-19,207,19,3000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1285716796 42.3842104857)
103 RIVER ST,7,125-133,125,133,2549,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1082503953 42.3642245499)
11 LOWELL ST,10,239-28,239,28,13900,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.133834368 42.3761665409)
119 HAMPSHIRE ST,3,79-25,79,25,5301,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,8,groundfloor,,,,,POINT (-71.0959113871 42.3699893216)
19 CHURCHILL AVE,11,186-72,186,72,4984,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1329037444 42.400338947)
1664-1668 MASSACHUSETTS AVE,9,174-37,174,37,6918,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1200890095 42.3819517857)
5 SUFFOLK ST,4,89-44,89,44,3011,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.098902374 42.3661944682)
5 BIGELOW ST,6,118-79,118,79,4156,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1061265821 42.3675521581)
201 ALEWIFE BROOK PKWY,12,265B-61,265B,61,20382,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1426887166 42.3900846258)
310 PEARL ST,5,98-59,98,59,3580,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.11029332120002 42.356993827800004)
9 DOUGLASS ST,4,91-35,91,35,3209,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1008467044 42.3644782048)
1028 MASSACHUSETTS AVE,7,121-94,121,94,22556,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.1123098771 42.3694463682)
74 HIGHLAND AVE,6,112-109,112,109,4200,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1049430975 42.3736946351)
11 SCOTT ST,8,146-62,146,62,11952,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1103046805 42.3792461981)
36 CHILTON ST,10,233-36,233,36,5000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1378167054 42.3822689656)
12 NEWMAN ST,11,186-16,186,16,4447,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1339807177 42.4005616326)
110 IRVING ST,8,146-15,146,15,9189,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.110802837 42.3790762961)
8A COGSWELL AVE,11,199-152,199,152,1940,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1242514226 42.3910869666)
45 NORRIS ST,11,192-50,192,50,3500,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1302952292 42.3953210923)
450 KENDALL ST,1,14-43,14,43,14463,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.081518299 42.36337285650001)
784 MEMORIAL DR,5,128-70,128,70,39815,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1153244804 42.3597038038)
594 FRANKLIN ST,7,121-105,121,105,1917,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1129178081 42.3681121514)
922 MASSACHUSETTS AVE,7,120-49,120,49,4800,112,Residential,>8-UNIT-APT,31,,,,,,POINT (-71.1090989442 42.3682581619)
19 ASH ST,10,167-40,167,40,12726,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1253361319 42.3747747948)
16 JACKSON ST,11,193-15,193,15,6000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1354954742 42.3940393575)
6 FRANCIS AVE,8,146-86,146,86,5952,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1114065547 42.3776416552)
102 REED ST,11,190-136,190,136,1800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1323610312 42.3962301821)
96 FAYERWEATHER ST,10,233-59,233,59,3802,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1369359821 42.382039227)
17 GORE ST,1,20-83,20,83,3068,330,Commercial,AUTO-SALES,0,,,,,,POINT (-71.0784202901 42.3716892296)
588 CAMBRIDGE ST,1,34-24,34,24,3300,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,10,groundfloor,,,true,,POINT (-71.0859940707 42.3716374355)
19 RICE ST,11,192-78,192,78,6000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1287790489 42.3951599651)
263 ELM ST,3,85-72,85,72,2943,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.095788423 42.372780352)
46 COGSWELL AVE,11,199-107,199,107,4885,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1259299469 42.3897219992)
83 ALPINE ST,9,261-142,261,142,4100,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1371682806 42.385809733)
65 FAYETTE ST,6,113-42,113,42,3400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1027512291 42.3734432625)
72A-72B CUSHING ST,13,255-113,255,113,2803,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1522473369 42.3766806894)
92 WASHINGTON AVE,9,210-34,210,34,10892,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1234480202 42.3865574544)
43 FAYETTE ST,6,113-47,113,47,6253,111,Residential,4-8-UNIT-APT,7,,,,,,POINT (-71.1032453158 42.3728217884)
42 FULKERSON ST,1,34-88,34,88,1285,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0869788059 42.370725795)
229 HURON AVE,10,230-120,230,120,4062,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1330669006 42.3816544981)
15 FENNO ST,9,228-25,228,25,3200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.130767266 42.385128843400004)
33 CHATHAM ST,6,115-111,115,111,2584,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.10865433850002 42.3715470511)
6 FROST ST,8,153-35,153,35,10594,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1170981954 42.3861648614)
525 FRANKLIN ST,7,121-117,121,117,1244,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1112385524 42.3680386515)
5 ROCKWELL ST,5,127-104,127,104,5751,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.1107045752 42.3623959091)
97 HANCOCK ST,6,116-93,116,93,4650,112,Residential,>8-UNIT-APT,22,,,,true,,POINT (-71.1081493945 42.36913281340001)
55 SEVENTH ST,1,34-29,34,29,3600,111,Residential,4-8-UNIT-APT,7,,,,,,POINT (-71.0858165419 42.3713780316)
1 AMORY PL,6,109-75,109,75,2764,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.10205795 42.3703314308)
26 MAGAZINE ST,5,106-20,106,20,5640,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1058962192 42.3635921166)
405 MEMORIAL DR,2,59-40,59,40,7092,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.0972229067 42.3562124469)
545 FRANKLIN ST,7,121-35,121,35,2946,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1116454284 42.36815715240001)
15-21 GARDEN ST,9,172-45,172,45,11570,112,Residential,>8-UNIT-APT,33,,,,,,POINT (-71.12268427 42.3775721899)
58 PRENTISS ST,8,151-54,151,54,7300,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1158175924 42.38416676)
179 CHESTNUT ST,5,102-9,102,9,5040,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.11116133480002 42.3582240089)
14 SHADY HILL SQ,8,146A-72,146A,72,17538,130,Vacant,RES-DEV-LAND,0,,,,,Other NonTax,POINT (-71.1088117729 42.3794530351)
16 GARDEN ST,10,170-39,170,39,34277,300,Hotel,HOTEL,0,,,,,,POINT (-71.1232409727 42.3771936763)
385 WINDSOR ST,3,79-77,79,77,3590,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0943601361 42.370535327)
7 BOWDOIN ST,9,174-87,174,87,2750,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1207162491 42.3823991302)
40 APPLETON ST,10,223-9,223,9,10800,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1334395825 42.3785750902)
93-95 MOORE ST,4,42-22,42,22,1210,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0938699287 42.3661264842)
97 AMORY ST,6,110-31,110,31,5272,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1008679867 42.371725716)
215 ALLSTON ST,5,102-68,102,68,6050,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1092631752 42.359522574)
21 UPTON ST,5,104-150,104,150,1585,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1087699517 42.3631225437)
7 MICHAEL WAY,3,39-140,39,140,2224,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0892711113 42.36943910910001)
27 FAINWOOD CIR,6,113-51,113,51,4150,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1038577425 42.3729030562)
156 CHERRY ST,4,74-136,74,136,2515,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0964624875 42.3659943254)
6 SACRAMENTO ST,8,156-63,156,63,7157,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1190303286 42.3823629882)
177 GROVE ST,13,266-13,266,13,10080,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1580699174 42.3833787422)
110 MIDDLESEX ST,11,195-161,195,161,7330,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.1298066028 42.3902823971)
42 SARGENT ST,11,195-142,195,142,4500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1316764884 42.3914413415)
40 SCIARAPPA ST,1,21-2,21,2,4220,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.0811763617 42.3716244558)
186 HAMPSHIRE ST,6,110-55,110,55,3660,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.0996240039 42.3724349515)
8-10 BERKSHIRE ST,3,40-157,40,157,2307,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0917985468 42.3683195064)
190 FIFTH ST,1,27-70,27,70,11491,407,Industrial,CLEAN-MANUF,0,,,,,,POINT (-71.0837519317 42.3675238354)
57-61 KINNAIRD ST,7,123-62,123,62,5185,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1099349406 42.3664109303)
368 PUTNAM AVE,5,127-164,127,164,6307,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.112877517 42.3607557142)
1558 MASSACHUSETTS AVE,9,172-14,172,14,9178,112,Residential,>8-UNIT-APT,31,,,,,,POINT (-71.1207625885 42.3784671723)
130 ANTRIM ST,6,114A-62,114A,62,5148,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1014915381 42.3730736159)
70 YORK ST,3,78-248,78,248,871,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0929851598 42.3698060603)
48 STANDISH ST,10,234-200,234,200,4000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1394680709 42.3824712269)
4 HOLWORTHY TER,13,254-67,254,67,3823,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1509876389 42.3770149442)
12 RINDGEFIELD ST,11,196-91,196,91,3700,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.127587449 42.3935408294)
40 SACRAMENTO ST,8,150-44,150,44,3400,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.115689827 42.3823657139)
115 COOLIDGE HILL,10,242A-107,242A,107,9141,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13873945 42.3734866651)
10-12 HAWTHORNE PK,10,248-69,248,69,4403,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.14237968700002 42.3817843923)
11 BERKELEY ST,10,216-26,216,26,21706,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1245458475 42.3780832319)
107 OTIS ST,1,23-100,23,100,2050,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0828630178 42.3708815746)
192 ELM ST,3,79-118,79,118,3045,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0961860319 42.3713167654)
319 CONCORD AVE,9,262-120,262,120,4356,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1348326724 42.3844277297)
110 INMAN ST,6,110-118,110,118,1351,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1007539068 42.3722839579)
58 GOLD STAR RD,11,184-100,184,100,2275,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1299709689 42.3994506572)
12 SPERIDAKIS TER,5,94-123,94,123,2660,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1068678719 42.36012338940001)
72 NORFOLK ST,4,91-88,91,88,3173,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1005573813 42.36585835510001)
7 KIRKLAND RD,6,142-73,142,73,3749,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.111645375 42.3767709785)
9 WENDELL ST,8,156-101,156,101,4686,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1184055112 42.3820463389)
136 IRVING ST,8,147-41,147,41,222732,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1101548586 42.380782326)
15 GERRY ST,10,166-27,166,27,3500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1250338912 42.3731865709)
78 KINNAIRD ST,7,120-13,120,13,2933,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1106210952 42.3671212626)
48.5B DANA ST,6,139-201,139,201,2499,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.10813237930002 42.37263682470001)
80 RESERVOIR ST,10,232-18,232,18,5036,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.135416119 42.3821493753)
319 WASHINGTON ST,4,75-154,75,154,2305,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.098334198 42.3654275287)
62 HUBBARD AVE,9,202-45,202,45,4579,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1280604359 42.3886259985)
20 CLAY ST,11,193-46,193,46,6000,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1344646651 42.3941313878)
9-11 HILLIARD ST,10,167-103,167,103,3226,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.12350990120001 42.3744642039)
3 BOWDOIN ST,9,174-85,174,85,2738,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1206164268 42.3822792024)
121 RAYMOND ST,9,201.5-10,201.5,10,5148,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1269358272 42.3868148201)
671-697 MT AUBURN ST,10,252-172,252,172,149947,323,Commercial,SH-CNTR/MALL,0,,,,,,POINT (-71.1488312546 42.3755803366)
2024 MASSACHUSETTS AVE,11,200-47,200,47,5000,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,6,groundfloor,,,,,POINT (-71.1220155294 42.3904897856)
277 WINDSOR ST,4,77-28,77,28,3064,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0952432142 42.3681426108)
17 BOARDMAN ST,4,76-101,76,101,2502,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0963879627 42.3670680988)
2145 MASSACHUSETTS AVE,11,181-197,181,197,1530,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1241606756 42.3923614317)
45 MAGOUN ST,11,188-78,188,78,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1354750819 42.3992505346)
89 IRVING ST,8,146-78,146,78,8086,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.110997885 42.377729935)
15 FOREST ST,8,153-38,153,38,5000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1171836928 42.3854469897)
22 WINTER ST,1,21-30,21,30,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0805153049 42.3723197453)
74R FAYERWEATHER ST,10,237-63,237,63,20968,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.136854044 42.3807915945)
167 FAYERWEATHER ST,9,262-69,262,69,3742,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1354228648 42.3854215881)
10 CLARY ST,3,83-68,83,68,4190,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0983431624 42.37384698430001)
119-121 ELM ST,4,86-113,86,113,2115,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0973895366 42.3699294741)
25 SMITH PL,12,267D-256,267D,256,12077,316,Commercial,WAREHOUSE,0,,,,,,POINT (-71.1511394135 42.3910367377)
116 WILLOW ST,3,80-58,80,58,4820,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,17,groundfloor,,,,,POINT (-71.0921063372 42.3723908155)
23 BUCKINGHAM ST,10,226-45,226,45,6766,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1302473967 42.3802278674)
17 KELLY RD,5,104-67,104,67,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1087349472 42.3623721847)
36 GROZIER RD,10,247-180,247,180,5035,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1418829948 42.3784191889)
187 OTIS ST,1,34-147,34,147,796,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0872607788 42.3713484282)
8 KINNAIRD ST,7,125-59,125,59,3700,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1087067292 42.3643603851)
297-299 WASHINGTON ST,4,75-76,75,76,3750,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0977191666 42.3653332144)
100 KIRKLAND ST,6,141-80,141,80,5325,327,Commercial,RETAIL-CONDO,0,,,,true,,POINT (-71.1073478719 42.377901412)
18 CUSHING COURT,13,255-100,255,100,295800,112,Residential,>8-UNIT-APT,114,,,,,Authority NonTax,POINT (-71.1537875634 42.3767065437)
144 THORNDIKE ST,1,25-87,25,87,3480,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.084730341 42.37002717560001)
249 CHESTNUT ST,5,101-130,101,130,3806,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1133040843 42.3594706815)
8 DANA ST,6,116-43,116,43,20342,304,Health,NURSING-HOME,0,,,,,,POINT (-71.1101471304 42.3696092079)
25 GRANT ST,7,132-148,132,148,2100,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1160785673 42.3698369648)
162-164 CHARLES ST,1,27-73,27,73,2898,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0829951281 42.3677833104)
35 RAYMOND ST,9,209-51,209,51,9373,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1254759223 42.3842738155)
7 WEST PL,6,108-97,108,97,1432,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1040553744 42.3698890157)
4 GLADSTONE ST,11,186-92,186,92,3400,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1349542973 42.4010990122)
18-5 BAY ST,7,120-94,120,94,1627,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1106527287 42.3679673577)
164 LAKEVIEW AVE,10,234-51,234,51,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1403312927 42.381043869600006)
158 ELM ST N,11,180-35,180,35,3398,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.119624841 42.391736363)
108 LEXINGTON AVE,10,247-101,247,101,5297,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1408809899 42.3786448768)
37 WENDELL ST,8,156-12,156,12,15000,112,Residential,>8-UNIT-APT,33,,,,,,POINT (-71.1166609275 42.3817943086)
374 HARVARD ST,6,134-51,134,51,2248,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1126223455 42.3711943703)
159 PEMBERTON ST,11,195-101,195,101,3240,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1299515911 42.3905433674)
20 SAVILLE ST,10,230-15,230,15,5300,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1343520872 42.382933121)
35-55 CLARENDON AVE,11,184-197,184,197,62777,112,Residential,>8-UNIT-APT,199,,,,,Authority NonTax,POINT (-71.1319176732 42.4004485592)
54 WALDEN ST,11,200-73,200,73,1828,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.1244176787 42.3894158289)
155 WILLOW ST,3,36-218,36,218,11998,106,Transportation,RES-LAND-IMP,0,,,,,Authority NonTax,POINT (-71.0913127475 42.3738465751)
9 BUCKINGHAM ST,10,223-68,223,68,9729,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1299241023 42.3789360597)
20 VINEYARD ST,13,256-102,256,102,3840,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1530188416 42.3786542546)
28 GURNEY ST,10,236-80,236,80,3780,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1381350899 42.3806067941)
6 BLAIR PL,9,203A-10,203A,10,10000,112,Residential,>8-UNIT-APT,12,,,,,,POINT (-71.1314828074 42.3897276117)
8 ELIOT SQ,10,162-17,162,17,3132,345,Office,RETAIL-OFFIC,0,,,,,,POINT (-71.121416909 42.372489142400006)
47 RAYMOND ST,9,209-11,209,11,16736,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1254374264 42.3846010078)
86 OXFORD ST,8,150-42,150,42,3350,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1160262841 42.3824412131)
40 SHERMAN ST,9,205-16,205,16,2880,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1305875612 42.3859641911)
54 JACKSON ST,11,193-7,193,7,5400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1355398204 42.3951259037)
34 MT PLEASANT ST,9,201-114,201,114,2267,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1248001823 42.3876812844)
89-91 FIFTH ST,1,25-15,25,15,3000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.08359741 42.3703736606)
78 HURON AVE,9,207-18,207,18,3195,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1286723091 42.384135759)
353 BROADWAY,6,114-130,114,130,52595,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1039976843 42.370923480200005)
19 CLIFTON ST,11,193-220,193,220,6000,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1359517856 42.3943112348)
344 WASHINGTON ST,4,91-14,91,14,1200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0991846229 42.3654324299)
5 BERKELEY PL,10,218-15,218,15,6579,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1268616054 42.3779413614)
5 RUTLAND ST,9,173-38,173,38,3764,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1205834102 42.3813798869)
349-353 WINDSOR ST,3,79-83,79,83,4390,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.094635544 42.3698918111)
42 GORHAM ST,8,149-141,149,141,939,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1147690763 42.3815311884)
1950 MASSACHUSETTS AVE,11,178-118,178,118,12484,353,Commercial,FRAT-ORGANIZ,0,,,,,Other NonTax,POINT (-71.1205414442 42.389491527)
238 GARDEN ST,9,262-149,262,149,2642,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.134996124 42.3863361932)
38 TIERNEY ST,9,229-35,229,35,4000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1310660672 42.38376087990001)
27 KINNAIRD ST,7,123-9,123,9,8409,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.10933601910001 42.3653653959)
881 MASSACHUSETTS AVE,6,117-64,117,64,10000,112,Residential,>8-UNIT-APT,56,,,,,,POINT (-71.1077220325 42.3681517118)
8 FOSTER PL,10,220-66,220,66,2100,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.129242544 42.3762856148)
158 WESTERN AVE,7,125-25,125,25,2200,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1091495231 42.3647451707)
238 ELM ST,3,80-18,80,18,5033,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0956128779 42.3721444723)
139 OTIS ST,1,23-73,23,73,1000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0845818995 42.3710582801)
33 PARK AVE,13,253-115,253,115,5599,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.149117198 42.3780111316)
127 THORNDIKE ST,1,25-147,25,147,3200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0839382154 42.3703631826)
34 TREMONT ST,4,87-81,87,81,4100,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0984253235 42.3707137324)
26 LEE ST,6,117-37,117,37,4005,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.10655834470002 42.36867893200001)
9 EUSTIS ST,8,151-103,151,103,5284,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.1154636081 42.3838637727)
11 BROOKFORD ST,11,189-8,189,8,6450,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1345526822 42.39971821)
33 ESSEX ST,4,90-159,90,159,3168,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1018197822 42.36684352550001)
469 BROADWAY,6,137-13,137,13,5500,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.1127985203 42.3742331365)
CAMELIA AVE,6,111-59,111,59,2979,972,Transportation,Road Right of Way,0,,,,,City NonTax,POINT (-71.1050074457 42.374872857)
308 CONCORD AVE,10,263-51,263,51,4500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1347697928 42.3839093858)
340 RIVER ST,5,128-63,128,63,57030,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1139451608 42.3616954056)
7 CHALK ST,5,104-35,104,35,2500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1090135567 42.3616876465)
20 FAYETTE ST,6,114-119,114,119,4074,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1033381745 42.3720287054)
137 CHERRY ST,4,75-91,75,91,10016,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.0970522854 42.3657909366)
241 HARVARD ST,4,88-12,88,12,10030,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.100577735 42.3681286118)
53 HAYES ST,7,122-192,122,192,1200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1112839136 42.3666347643)
808 MEMORIAL DR,5,128-30,128,30,113002,013,Residential w/ Commercial,MULTIUSE-RES,301,,,,,,POINT (-71.1151631396 42.3610584531)
26 SACRAMENTO ST,8,156-106,156,106,3697,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1170550825 42.3823332879)
34 PINE ST,4,75-61,75,61,3442,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0979763456 42.3645148212)
55 GRANITE ST,5,99-20,99,20,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1128648695 42.3567256474)
155 PEARL ST,5,103-24,103,24,4582,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1069696186 42.3610074712)
21 BERKELEY ST,10,216-33,216,33,14149,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1259976341 42.3788402337)
94 SPRING ST,1,26-50,26,50,2500,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0825086678 42.3690414601)
